circuit_id,config_group,n_qubits,depth,two_qubit_ratio_target,zero_state_prob,robust_fidelity,expressibility_score,expressibility_entropy
0,q5_d1_r10,5,1,0.1,0.8785400390625,0.8785400390625,,
1,q5_d1_r30,5,1,0.3,0.8812255859375,0.8812255859375,,
2,q5_d2_r10,5,2,0.1,0.876953125,0.876953125,,
3,q5_d2_r30,5,2,0.3,0.62451171875,0.62451171875,,
4,q5_d3_r10,5,3,0.1,0.8646240234375,0.8646240234375,,
5,q5_d3_r30,5,3,0.3,0.869873046875,0.869873046875,,
6,q10_d1_r10,10,1,0.1,0.8062744140625,0.9827880859375,,
7,q10_d1_r30,10,1,0.3,0.818359375,0.983154296875,,
8,q10_d2_r10,10,2,0.1,0.8114013671875,0.981689453125,,
9,q10_d2_r30,10,2,0.3,0.698486328125,0.9305419921875,,
10,q10_d3_r10,10,3,0.1,0.67626953125,0.9124755859375,,
11,q10_d3_r30,10,3,0.3,0.134765625,0.5926513671875,,
12,q15_d1_r10,15,1,0.1,0.7459716796875,0.9969482421875,,
13,q15_d1_r30,15,1,0.3,0.743896484375,0.9974365234375,,
14,q15_d2_r10,15,2,0.1,0.753173828125,0.996826171875,,
15,q15_d2_r30,15,2,0.3,0.03955078125,0.430419921875,,
16,q15_d3_r10,15,3,0.1,0.4677734375,0.9395751953125,,
17,q15_d3_r30,15,3,0.3,0.0018310546875,0.1434326171875,,
18,q20_d1_r10,20,1,0.1,0.6796875,0.9935302734375,,
19,q20_d1_r30,20,1,0.3,0.705810546875,0.9937744140625,,
20,q20_d2_r10,20,2,0.1,0.254638671875,0.856689453125,,
21,q20_d2_r30,20,2,0.3,0.2786865234375,0.8330078125,,
22,q20_d3_r10,20,3,0.1,0.275390625,0.854248046875,,
23,q20_d3_r30,20,3,0.3,0.0010986328125,0.1083984375,,
24,q30_d1_r10,30,1,0.1,0.4542236328125,0.99365234375,,
25,q30_d1_r30,30,1,0.3,0.46826171875,0.994140625,,
26,q30_d2_r10,30,2,0.1,0.083251953125,0.70068359375,,
27,q30_d2_r30,30,2,0.3,0.0,0.017822265625,,
28,q30_d3_r10,30,3,0.1,0.3175048828125,0.94384765625,,
29,q30_d3_r30,30,3,0.3,0.0,0.0677490234375,,
30,q50_d1_r10,50,1,0.1,0.34375,0.9776611328125,,
31,q50_d1_r30,50,1,0.3,0.3525390625,0.9818115234375,,
32,q50_d2_r10,50,2,0.1,0.0,0.0048828125,,
33,q50_d2_r30,50,2,0.3,0.0,0.0008544921875,,
34,q50_d3_r10,50,3,0.1,0.0,0.0050048828125,,
35,q50_d3_r30,50,3,0.3,0.0,0.0040283203125,,
36,q70_d1_r10,70,1,0.1,0.1751708984375,0.916015625,,
37,q70_d1_r30,70,1,0.3,0.190185546875,0.9248046875,,
38,q70_d2_r10,70,2,0.1,0.0,0.0098876953125,,
39,q70_d2_r30,70,2,0.3,0.0001220703125,0.0025634765625,,
40,q70_d3_r10,70,3,0.1,0.0001220703125,0.0509033203125,,
41,q70_d3_r30,70,3,0.3,0.0006103515625,0.07373046875,,
42,q127_d1_r10,127,1,0.1,0.02001953125,0.49609375,,
43,q127_d1_r30,127,1,0.3,0.0225830078125,0.4921875,,
44,q127_d2_r10,127,2,0.1,0.0,0.0,,
45,q127_d2_r30,127,2,0.3,0.0,0.0,,
46,q127_d3_r10,127,3,0.1,0.0,0.002685546875,,
47,q127_d3_r30,127,3,0.3,0.0,0.0,,
